SessionID,isLearner,Completed,Prime UserID,Discipline,Practice,Specialty,Discipline Group,Practice Group,Specialty Group,Cohort,Team,Geolocation,Company,How would you proceed?,Would you diagnose EoE?,Would you diagnose EoE?,What is the patient’s EREFS?,Which of the following statements is true regarding the role of TSLP in EoE?,Targeting the eosinophil by inhibiting IL-5 has been shown to improve both histologic and symptomatic outcomes in EoE clinical trials.,Inhibiting IL-13 has been shown to improve both histologic and symptomatic outcomes in a phase 3 clinical trial of EoE.,Targeting the mast cell has been shown to be effective in clinical trials of EoE.
ed29s30scsioobj48o7sv8u1ic,,,426382,Physician,Medical Practice,Gastroenterology,MD/Resident/Fellow,Medical Practice / Community / Retail,Other,13LV258,Brown Bear - Table 8,US,"Albert Harary, MD",EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,It is released after production of IL-4 and IL-13.,False,False,,
bmid_40f5c790f586,,2026-05-02 20:42:53,165636,Nurse Practitioner,Medical Practice,Gastroenterology,NP/PA,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 1,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,True,True
l1pk8l8kellnc6otcpqcmkuh61,,,,,,,Other,Other,Other,13LV258,Kangaroo - Table 13,US,,EGD with biopsy of esophagus and stomach,Yes based on eosinophil levels EGD images and symptoms,It is released upstream of the production of Th2 cytokines.,False,,,,
bmid_40caeac5c2e3,,,268516,Nurse Practitioner,None / Other,Family Medicine,NP/PA,Other,Other,13VS251,Virtual Team 1,US,Retired,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,True,
bmid_07375aa1c2ba,,,426283,Nurse Practitioner,Hospital,Gastroenterology,NP/PA,Hospital,Other,13VS251,Virtual Team 2,US,Advent Health,False,True,,,,,,
bmid_9c3111ce8a9c,,,421756,Physician,Health Plan,Family Medicine,MD/Resident/Fellow,Employer / Health Plan / SpecPharm / BPM,Other,13VS251,Virtual Team 1,US,,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,,,
bmid_fb459d302601,,2026-05-02 20:42:54,93178,Physician,None / Other,Internal Medicine,MD/Resident/Fellow,Other,Internal Medicine,13VS251,Virtual Team 1,US,n/a,EGD with biopsy of esophagus,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,False,True
bmid_9cea3cb02aa0,,,113490,Patient/Caregiver,Consumer,None,Patient/Caregiver,Other,Other,13VS251,Virtual Team 1,US,AstraZeneca,EGD with biopsy of esophagus stomach and duodenum,E0 R1 Ex1 F2 S15,False,False,True,,,
bmid_a9a0e09a8c22,,,416975,Pharmacist,Hospital,Other,Pharmacist,Hospital,Other,13VS251,Virtual Team 1,US,Vital Care,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,It is released after production of IL-4 and IL-13.,True,True,True,,
bmid_f3e0e631eefe,,,192153,Pharmacist,Hospital,Med / Surg,Pharmacist,Hospital,Other,13VS251,Virtual Team 1,US,,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-5.,False,False,,,
bmid_e595efccf81d,,,417793,Nurse Practitioner,Medical Practice,Family Medicine,NP/PA,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 2,US,Biomeridian,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,False,,
bmid_badaf0c3cf51,,,354169,Pharmacist,None / Other,Other,Pharmacist,Other,Other,13VS251,Virtual Team 1,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,False,True,
bmid_7a2905c6f64b,,,128477,Nurse,State / Federal Government,Infectious Disease,RN/CCM,State / Federal Government,Other,13VS251,Virtual Team 2,US,,E1 R2 Ex1 F1 S14,True,False,True,,,,
bmid_e23dda023a02,,,265377,Pharmacist,Hospital,None,Pharmacist,Hospital,Other,13VS251,Virtual Team 2,US,Thanhvan Phan,No would diagnose with eosinophilic gastritis,Yes based on eosinophil levels EGD images and symptoms,E0 R2 Ex0 F2 S14,True,False,False,,
bmid_01aa1b570d1d,,,402667,Nurse,None / Other,None,RN/CCM,Other,Other,13VS251,Virtual Team 1,US,,EGD with biopsy of esophagus,Yes based on eosinophil levels EGD images and symptoms,,,,,,
bmid_9b4e3c35a158,,,426371,,,,Other,Other,Other,13VS251,Wolf - Table 17,US,,EGD,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,False,
v411p43n7sasai0cjvarv05hk9,,,,,,,Other,Other,Other,13LV258,Fox - Table 11,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,True,False,
bmid_8bc69d4efff1,,,409123,Nurse Practitioner,Community / Retail,Family Medicine,NP/PA,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 1,US,N/A,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,False,
6e377f7c6c21fa8b4bbe6f5abb5dd512,,,,,,,Other,Other,Other,13LV258,Blue Whale - Table 5,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,False,,
bmid_ed3da1fc20b6,,,423838,Pharmacist,Community / Retail,None,Pharmacist,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 1,US,Walgreens Pharmacy,"Yes based on the eosinophil levels",Yes based on eosinophil levels EGD images and symptoms,It is released upstream of the production of Th2 cytokines.,False,True,False,,
bmid_2c4e2a77ad50,,,420886,Nurse,Medical Practice,Other,RN/CCM,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 1,US,177-68-5310,"No based on the eosinophil levels",E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,True,True,,
bmid_f82e3030278c,,2026-05-02 20:42:59,62936,Physician Associate,Medical Practice,Family Medicine,Other,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 1,US,CVH: Topaz Ranch Estates,EGD with biopsy of esophagus and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,True,False
bmid_64c206bd6bd6,,2026-05-02 20:43:08,423928,Other HCP,None / Other,Other,Other,Other,Other,13VS251,Virtual Team 1,US,RDH in private practice,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,True,False
bmid_f39a0b7b1be8,,,166228,Nurse Practitioner,Medical Practice,Cardiology,NP/PA,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 1,US,Erlanger,EGD with biopsy of esophagus stomach and duodenum,,,,,,,
bmid_32e3370ee1a1,,,418892,Physician,Research / Academia,Allergy / Immunology,MD/Resident/Fellow,Research / Academia,Rheumatology/Allergy/Immunology,13VS251,Virtual Team 1,US,Children's,EGD with biopsy of esophagus stomach and duodenum,,,,,,,
j4cgeod8aic35sodom18cnkeni,,,111368,Pharmacist,Community / Retail,None,Pharmacist,Medical Practice / Community / Retail,Other,13LV258,Fox - Table 11,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,True,False,
bmid_beba7bb1917a,,,59599,Respiratory Therapist,Hospital,Pulmonology,Other,Hospital,Other,13VS251,Virtual Team 1,US,,True,True,,,,,,
hkaau4nliajqbmgsas11f80ubc,,,,,,,Other,Other,Other,13LV258,Ram - Table 10,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,It is released upstream of the production of Th2 cytokines.,,,,,
bmid_d42d28d7cd57,,,408043,Medical Director,Community / Retail,Other,Other,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 2,US,The Roxbury Institute,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,False,,,,
1o4qg277al8rri0h30482sq8tm,,,426395,Physician,Medical Practice,Gastroenterology,MD/Resident/Fellow,Medical Practice / Community / Retail,Other,13LV258,Sea Turtle - Table 3,US,Aurora health care,Yes based on eosinophil levels EGD images and symptoms,False,,,,,,
htnq3el9d429b43qdik6i8g3r0,,,426383,,,,Other,Other,Other,13LV258,Flamingo - Table 9,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,False,False,
215b6df75e218ab5aa887177cfb65c12,,,,,,,Other,Other,Other,13LV258,Tiger - Table 2,BR,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-5.,True,False,False,
bmid_cfaf72c80f60,,2026-05-02 20:43:00,320306,Physician,Hospital,Internal Medicine,MD/Resident/Fellow,Hospital,Internal Medicine,13VS251,Virtual Team 1,US,IU Health,EGD with biopsy of esophagus and stomach,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,True,False
sldtt943mucu3q020lb6svnf0u,,,425335,Physician,Consultant,Gastroenterology,MD/Resident/Fellow,Other,Other,13LV258,Rhino - Table 15,US,UHP UK,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,False,False,
3194pnhm5jpkadl06bd956r422,,,,,,,Other,Other,Other,13LV258,Brown Bear - Table 8,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,,,,
ohqcfs3m8lu80t1bn69jpgposc,,,,,,,Other,Other,Other,13LV258,Kangaroo - Table 13,US,,EGD with biopsy of esophagus and stomach,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,,,,
bmid_e58039be21bb,,2026-05-02 20:43:04,49397,Nurse,Hospital,Critical Care,RN/CCM,Hospital,Other,13VS251,Virtual Team 1,US,Mercy,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-5.,True,True,True
6a5gd6bp576ootaoocglpa6tka,,2026-05-02 20:42:57,,,,,Other,Other,Other,13LV258,Flamingo - Table 9,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,False,False,False
bmid_c5daf942f84f,,,369123,Physician Associate,None / Other,Orthopedics,Other,Other,Other,13VS251,Virtual Team 1,US,,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,True,,,
ki37gv1jkpc1lsvgoudkevk3pg,,,426385,,,,Other,Other,Other,13LV258,Flamingo - Table 9,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,True,True,
633idqse4f4susaco4oc23fp9s,,,426384,Pharmacist,Community / Retail,Pain Management,Pharmacist,Medical Practice / Community / Retail,Other,13LV258,Rhino - Table 15,US,Salix,EGD with biopsy of esophagus stomach and duodenum,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,True,True,,
lriup4mtfsqa9smr86ksd15h90,,2026-05-02 20:42:49,,,,,Other,Other,Other,13LV258,Lion - Table 4,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,True
5qh2av2q8o5p8pufb78rbsmr6f,,,,,,,Other,Other,Other,13LV258,Lion - Table 4,US,,EGD with biopsy of esophagus stomach and duodenum,,,,,,,
b85t70fceospk5omv5of4skkra,,,,,,,Other,Other,Other,13LV258,Camel - Table 16,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E0 R2 Ex0 F2 S14,It is released upstream of the production of Th2 cytokines.,False,False,False,
onofaapo9git0a3b3n9fvr9f3e,,2026-05-02 20:42:48,,,,,Other,Other,Other,13LV258,Kangaroo - Table 13,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R1 Ex0 F2 S16,It is released upstream of the production of Th2 cytokines.,False,False,False
b5ptjr8tmhrigsfok20p3nhcbn,,,96773,Physician,State / Federal Government,Pediatrics,MD/Resident/Fellow,State / Federal Government,Other,13LV258,Wolf - Table 17,US,,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,True,False,True,
qcslufrmklgujkar541sb76ki3,,,,,,,Other,Other,Other,13LV258,Ram - Table 10,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,,,,,
3cc2727e49fcf1d464927e7e6b840148,,2026-05-02 20:42:52,316681,Physician,Research / Academia,Family Medicine,MD/Resident/Fellow,Research / Academia,Other,13LV258,Blue Whale - Table 5,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,False,False
bmid_df2354045c2d,,,426186,Physician,Medical Practice,Allergy / Immunology,MD/Resident/Fellow,Medical Practice / Community / Retail,Rheumatology/Allergy/Immunology,13VS251,Virtual Team 1,US,"Triangle Allergy & Asthma, PA",EGD with biopsy of esophagus,E1 R2 Ex1 F1 S14,It is released upstream of the production of Th2 cytokines.,False,False,True,,
bmid_7ac42ce5320f,,,411715,Fellow,Hospital,Gastroenterology,MD/Resident/Fellow,Hospital,Other,13VS251,Virtual Team 1,US,,EGD with biopsy of esophagus stomach and duodenum,,,,,,,
bmid_c20252ea3bad,,,412708,Nurse Practitioner,Medical Practice,Gastroenterology,NP/PA,Medical Practice / Community / Retail,Other,13VS251,Virtual Team 1,US,,EGD with biopsy of esophagus,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,,,,,
bmid_84b2131f8d57,,,4610,Physician,Consultant,Internal Medicine,MD/Resident/Fellow,Other,Internal Medicine,13VS251,Virtual Team 1,US,Spiro MD Consulting LLC,Yes based on eosinophil levels EGD images and symptoms,E0 R2 Ex0 F2 S14,,,,,,
bmid_bedb27d7acf0,,,425140,Pharmacist,Hospital,Internal Medicine,Pharmacist,Hospital,Internal Medicine,13VS251,Virtual Team 1,US,Perry County Community Hospital,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,True,,
bmid_22978624dec7,,2026-05-02 20:43:02,353591,Physician,Health Plan,Critical Care,MD/Resident/Fellow,Employer / Health Plan / SpecPharm / BPM,Other,13VS251,Virtual Team 1,US,,EGD with biopsy of esophagus stomach and duodenum,"No based on the symptoms",Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,False,True,False
edkh0ri4873a54stj2303noga5,,,,,,,Other,Other,Other,13LV258,Bull - Table 7,US,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,,,,
bmid_477e85c24be9,,,395087,Pharmacist,Employer,Oncology,Pharmacist,Employer / Health Plan / SpecPharm / BPM,Other,13VS251,Virtual Team 2,US,,It is released upstream of the production of Th2 cytokines.,,,,,,,
bmid_68762d630498,,,424988,,,,Other,Other,Other,13VS251,Virtual Team 2,US,,False,False,False,,,,,
36ac2bbc655ff8d78fe31fb520318175,,,,,,,Other,Other,Other,13LV258,Chameleon - Table 14,US,,EGD with biopsy of esophagus stomach and duodenum,,,,,,,
7t23t3ndusro1q75p4bbla5j0t,,,426390,Physician,Medical Practice,Gastroenterology,MD/Resident/Fellow,Medical Practice / Community / Retail,Other,13LV258,Blue Whale - Table 5,BR,Endoview,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,,,,,,
0b999573ea5c1e8678815b8cefb94152,,2026-05-02 20:43:05,,,,,Other,Other,Other,13LV258,Flamingo - Table 9,BR,,EGD with biopsy of esophagus stomach and duodenum,Yes based on eosinophil levels EGD images and symptoms,Yes based on eosinophil levels EGD images and symptoms,E1 R2 Ex1 F1 S14,It is released after production of IL-4 and IL-13.,True,False,False
a6e673e5329f1cb2839b5ea643034a48,,,,,,,Other,Other,Other,13LV258,Blue Whale - Table 5,BR,,EGD with biopsy of esophagus and stomach,,,,,,,
